Dansk navn,Latinsk navn,Truet,Nytteplante 1,Nytteplante 2,,,,
Murergnavebi,Hoplitis anthocopoides,3,Echium vulgare,,,,,
Sortbrun blaafugl,Aricia artaxerxes,3,Geranium sanguineum,,,,,
Orange jordbi,Andrena marginata,2,Knautia arvensis,Succisa pratensis,Scabiosa,,,
Brun pletvinge,Melitaea athalia,2,Veronica,Plantago lanceolata,Melampyrum,,,
Dibolia depressiuscula,Dibolia depressiuscula,0,Veronica,Ballota nigra,,,,
Apteropeda orbiculata,Apteropeda orbiculata,3,Veronica,Cirsium vulgare,Plantago lanceolata,Plantago major,Stachys,Scrophularia
Hypera fuscocinerea,Hypera fuscocinerea,1,Medicago,Trifolium,,,,
Guldbuksebi,Dasypoda suripes,1,Knautia arvensis,,,,,
Engperlesommerfugl,Brenthis ino,2,Filipendula ulmaria,,,,,
Coelositona cambricus,Coelositona cambricus,2,Lotus corniculatus,Lotus uliginosus,,,,
Blaa glansbladbille,Oreina caerulea,3,Centaurea jacea,Centaurea scabiosa,,,,
Longitarsus pulmonariae,Longitarsus pulmonariae,4,Symphytum,Pulmonaria,,,,
Sitona cinerascens,Sitona cinerascens,3,Lotus corniculatus,,,,,
Snudebille,Ceutorhynchus euphorbiae,4,Myosotis sylvatica,,,,,
Snudebille,Hypera fuscocinerea,1,Medicago,Trifolium,,,,
Apion armatum,Apion armatum,3,Centaurea,,,,,
Apion austriacum,Apion austriacum,3,Centaurea,,,,,
Apion basicorne,Apion basicorne,1,Centaurea,,,,,
