5,Latinsk navn,Levetid (aar),Tunghed(1-10),Lystal (L),Calciumtal (R),Kvaelstof (N),Fugtighedstal (F)
Blaahat,Knautia arvensis,3,6,7,-1,4,4
Kaellingetand,Lotus corniculatus,3,3,7,7,3,4
Alm. knopurt,Centaurea jacea,3,7,7,-1,-1,-1
Kornblomst,Centaurea cyanus,1,6,7,-1,-1,-1
Alm. slangehoved,Echium vulgare,2,6,9,8,4,4
Hoer,Linum usitatissimum,3,2,8,6,6,5
Dagpragtstjerne,Silene dioica,3,7,-1,7,4,6
Alm. mjoedurt,Filipendula ulmaria,3,8,6,6,5,8
Blodroed storkenaeb,Geranium sanguineum,3,5,7,8,3,3
Aksaerenpris,Veronica spicata,3,6,7,7,2,3
Skov-forglemmigej,Myosotis sylvatica,3,6,7,7,2,3
Alm. hjulkrone,Borago officinalis,1,9,8,7,6,4
Humle-sneglebaelg,Medicago lupulina,2,5,7,8,-1,4
Buskvedbend,Hedera Helix 'Arborescens',3,6,4,6,6,5
Kulsukker,Symphytum Grandiflorum,3,7,7,7,7,7
Traedebregne,Leptinella Squalida 'Cotula Squalida',3,7,7,7,7,7
Djaevelsbid,Succisa pratensis,3,5,7,5,3,7
Roed Tandbaege,Ballota nigra,3,-1,7,8,7,5
Horsetidsel,Cirsium vulgare,2,-1,8,8,7,5
Lancet-vejbred,Plantago lanceolata,3,-1,7,5,6,5
Glat vejbred,Plantago major,3,-1,7,6,6,5
Sumpkaellingetand,Lotus uliginosus,3,-1,7,4,4,8
Stor knopurt,Centaurea scabiosa,3,-1,7,4,8,4

